User;opinionText
Makhdaniar Madhani At thaharah;Pembelajaran online setidaknya memaksa kita melek teknologi 
Syamsuddin;Menurut saya, dengan belajar daring saya bisa fokus memperhatikan materi dari dosen tetapi ini juga bisa saya dapatkan saat belajar tatap muka
Desmah Fajriani;dampaknya ketika seseorang yang butuh waktu untuk memahami pelajaran dengan bentuk pembelajaran berupa vidio, sehingga bisa di ulang-ulang
Titi ayu astuti;Justru sebaliknya, membuat siswa malas belajar, malas kerjakan tugas yang di berikan
Muh. Arham;Karna susah di pahami
Nuha Hanifatul Khonsa';saya tidak setuju karena masih banyaknya kendala yang terjadi saat pembelajaran online
Fitri cahaya;Pembelajaran online setidaknya bisa menjadi solusi ditengah pandemi seperti saat ini
Gany Berdu Sura;Walau menurut saya offline lebih baik tetapi belajar secara online tidak ada ruginya dengan belajar secara online  memaksa kita untuk luwes memanfaatkan teknologi.
Kamaruddin. H;Kurang berdampak efektif terhadap penyerapan / pemahaman materi oleh siswa
Dina Soraya Fauziah;Bisa mengenal lebih tentang bagaimana berkomunikasi jarak jauh 
Chandra Kirana Poetra;karena kondisi sehingga harus pembelajaran jarak jauh
Kaka Kamaludin;Seperti yang sudah dijelaskan karena kurang efektif
Ilham Muhammad Ariq;Menambah media yang dapat digunakan untuk melakukan proses pembelajaran
Putri Nella;Manusia butuh interaksi sosial
Ida fatrini putri;Interaksi sosial antar mahasiswa dan dosen menjadi berkurang
hanfi hermawan;Kurang mengerti penjelasan dosen
Bakti Qilan Mufid;Seperti yang sudah saya katakan sebelumnya, bahwasanya cukup sulit belajar online karena ada beberapa yag terkendala jaringan atau ada beberapa dosen yang hanya memberikan sekedar power point
Zavira Nurfalita;ya pasti semua ada baiknya
Murnia Lestari;Kapanpun dan di manapun kita berada, belajar sudah bisa dilakukan, asalkan ada sarananya yang mendukung
Fatmawati;Menurut saya, baik karena kita lebih mengenal tentang aplikasi-aplikasi yang sangat membantu di masa sekarang ini. 
Fitria Dwi Ningsih;Menciptakan ruang ajar yang dinamis
Dyning Aida Batrishya;Setuju jika saja peserta didik dan tim pengajar bisa memanfaatkan fasilitas pembelaharan online secara baik.
Sitti Arabia;Ada dampak baik dan buruknya salah satu dampak baiknya yaitu bisa masuk kelas dengan tepat waktu
A. Meriam Residen;selama kegiatan online 1 tahun ini, pembelajaran masih bisa diikuti, namun tidak selalu keadaan mahasiswa bisa kondusif apabila dilaksanakan onlind
Kasmawati Zainuddin;Pembelajaran secara online memberikan dampak yang baik dalam belajar mengajar dari pada tidak sama sekali
Zakiyah;Menimbulkan sifat malas dan susah untuk menerima materi dengan baik
Nurul Maghfirah Aras;Interaksi sosial tidak terjalin demgan baik
Nurul wafika;Baiknya itu sistem ujian bisa open book ini memudahkan mahasiswa untuk lebih berpikir luas karena soal yang d berikan berupa tanggapan dan analisis
Fahira, S.Pd;Karena dalam mengerjakan tugas, hal yang tidak diketahui bisa jadi diketahui seperti mengerjakan tugass dalam bentuk file (diketik) 
A.IDHAM FITRAH AL MADANI;"Proses belajar mengajar sekarang ini ada sisi negatif dan positif nya, sisi negatifnya yaitu kita tidak berinteraksi secara langsung antara guru dan siswa dan itu menyebabkan kita kurang memahami sesuatu yang di berikan oleh guru.
Sisi positifnya yaitu kita dapat menggunakan teknologi sekarang dan lebih tau lagi perkembangan teknologi yang semakin berkembang dan ketakwaanmu"
A. Mukramin Yusuf;Dampak pembelajaran online kurang baik. Selain karena anak candu terhadap android, kesehatan mata anak juga berpengaruh negatif karena durasi mereka menatap layar android/PC cukup lama.
Rezky Ananda;Kembali ke soal jaringan yang kurang mendukung di daerah daerah tertentu
Nurul A’in ;Tidak semua dapat mengakses internet yang bagus
Nur Hikma;Dampak baiknya adalah peserta yang mengikuti pembelajaran didorong untuk lebih kreatif dalam penyelesaian tugas atau materi yang diajarkan
Andi Muh Fauzan Razak;Pada saat pembelajaran daring siswa lebih merasa bebas.Dalam artian,Kita tidak dituntut untuk berpakaian seperti apa saat melakukan daring.
Andi Indri Pratiwi;Karena dapat menumbuhkan sikap disiplin serta mandiri dalam mengerjakan pelajaran yang di berikan
Nurul Fitri;Agak lumayan, bisa melatih siswa Dan pengajarar dalam penggunaan komputer Dan media lainnya. 
Anissatul Muazzirah;Saya cukup setuju tapi tugas yang diberikan terlalu banyak saat belajar online
Sitti Aisyah;Karena bisa saja anak tidak membuka pembelajaran tapi mereka bermain game
Habib Abdul Rasyid;Tidak ada
Janjalaneh;Karena masih banyak mahasiswa yang tidur atau tidak mengdengarkan ketika dosen sedang mengajar melalui aplikasi zoom atau google meet 
Nurul Istikhomah;Adapun dampak baiknya adalah fleksibel yang dapat dilaksanakan dimana saja.
MUH. RUSMAN;Santai belajarnya
Biutipul;Ada dampak baik dan ada dampak buruknya juga
Suciyani;Dampak baik jika di manfaatkan dengan benar
Ainun Nurul Asa;dampak yang baik seperti hemat dalam biaya baik transportasi untuk ke kampus maupun dalam hal lain sebagainya
Annisa muliani ilmi;Karena untuk sebagian siswa atau mahasiswa yang di daerahnya kurang dalam hal jaringan akan tidak dapat menerima pembelajaran dengan baik
A. St. Ardiyanti Umar;Kadang terkendala di jaringan
Aya;proses belajar secara online memang kurang baik tetapi terdapat pula hal yang baik 
Difa Al Fansha;Memudahkan dalam memberikan materi pembelajaran dan mengajak peserta didik untuk mengetahui Informasi dan Teknologi
Aulyardha Anindita ;Lebih baik tatap muka
Kasdiana;Bisa lebih explore lagi
Liyana majdah rahma;Menurut saya masih kurang, karena pembelajaran jarak jauh memang memudahkan seseorang dalam berkomunikasi meskipun berbeda tempat, tapi lebih banyak mungkin negatifnya. Beberapa dari yang saya amati, trmasuk saya tentunya ketika mengikuti kuliah online tidak serius dalam menyimak pembelajaran alhasil kurangnya ilmu yang kita dapat dan sifat mager yang paling utama. Beberapa dari teman saya juga ada yang tidur ketika proses belajar mengajar online dilaksanakan, bahkan kemarin ada yang makan dan minum. Jadi ya menurut saya cukup. 
Nur Aina;Siswa dan guru jadi sama-sama faham internet
Ifan wahyudi;Tidak setuju  karena kurang efektif dalam memantau mahasiswanya 
Agus Paturohman;Ada mata kuliah yang mudah saat dilakukan secara langsung , dan ada juga pembelajaran yang bisa terleksana dengan baik walau hanya memakai metode daring.
Tita Puspita;Tidak efektif
Atti S;Meskipun pembelajaran online tidak sebaik dengan tatap muka, tapi bisa memberikan dampak yang baik juga, seperti melatih kehujuran anak.
Imam muslimin;Kreativitas dalam belajar mengajar lebih meningkat
SANIB;apabila menyebabkan perubahan positif pada siswa dan guru
Wirda Nengsi,S.Pd;Di bikin lebih sistematis saja, ekstra ketelatenan yang kuat
Indah Sari;Penanaman karakter sangat terbatas
A.Aida Wulandari Putri ;pembelajaran online tidak memberikan dampak yang baik, terutama dari aspek kedisiplinan siswa, selain itu ada beberapa tata tertib dalam proses belajar mengajar yang tidak dapat diterapkan dalam model pembelajaran tersebut.
Andi Nadhyatul Hidayah;Karena membuat kita untuk tidak lebih GAPTEK 
Nurul Hidayah Alimuddin ;Cukup setuju, karena mau bagaimana kita harus belajar online. Tapi untuk dampak baiknya sangat nihil untuk di dapatkan menurut saya karena selama belajar online dampak yang saya dapatkan lebih leluasa mengulur² waktu dan bermalas²an
Arjun Yuda Firwanda;Saya cukup setuju dalam hal tersebut dimana untuk pembelajaran online siswa atau mahasiswa dipermudah dalam hal mencari jawaban atau referensi dari tugas yang diberikan, tetapi hal lainnya yang saya anggap kurang baik yaitu kita (siswa atau mahasiswa) akan terlalu bergantung pada internet dan tidak memperhatikan buku kembali. 
Harun Ar - Rasyid;Pembelajaran secara online sangat tidak efektif. Ketika dosen menjelaskan, boleh saja mahasiswa berseluncur ke media sosial lainnya sehingga mengurangi kofokusan belajar. Dan akhirnya membuat mager
Sri Rahayu;Memberikan deadline tugas dengan diberi waktu yang panjang
Damara Benedikta ;karena pelajar tidak fokus dalam memerhatikan pelajaran
Evietania;Menurut saya tidak terlalu baik
Muhammad Fahmi;tergantung pada setiap individu 
Faisal Najib Abdullah;Seperti jawaban saya yang pertama
Nia zuliana;Baik dalam segi TI, kalau non TI mungkin sebaliknya karena harus ke lapangan
Eka Nuraini;Jauh lebih baik di lakukan secara langsung
Naila Rahma Fitri;Memang benar belajar online lebih ringan tetapi belajarnya kurang puas, dengan fasilitas seadanya.
Muhammad Adham Malik;Menurut pendapat saya hanya ada dampak buruk antara lain saya menjadi setres dengan adanya pembelajaran online ini
NURSYAFIKAH;Karena materi yang diberikan agak sulit diterima 
Andi Tenri Rahayu Asri;Semua tergantung dosen yang memberikan mata kuliah dan mahasiswa yang menerima pembelajaran tersebut apakah cukup baik untuk menyikapinya
Oktaviana Nurul Khoiriah;Bisa dikatakan iya bisa juga tidak
Murafiqah ramadhani;Karena masih banyak siswa yang memanfaatkan data yang diberikan untuk belajar malah disalahgunakan untuk bermain game, nnton youtube dan lain hal. 
Ira Dwita Syafitri Tarigan;Cukup baik karena disisi lain memang bisa berleluasa untuk faham materi lebih dalam
Reski Amalia;Dampak baik karna demi kebaikan kita bersama dalam penanganan covid_19
Maria Ulfa;Disini saya antara setuju dan tidak dikarenakan jika dosen menjelaskan materi dapat sedikit dimengerti tetapi jika peraktek sulit untuk dimengerti 
Nur aulia syahbani ;Lebih mandiri dalam mengerjakan tugas 
Ayu Wahyuni;Cukup mempermudah siswa 
Andi Nur Ihsan Bahri;Saya suka malas belajar daring karena bosan
ahmad farid;Kesusahan dalam menerima materi saat online
Adie Wirahardi Kusuma;Kurang
Bahtiar;setidaknya kita tidak ketinggalan materi, walaupun tidak efektif
Ibnu Bathutah;Pembelajaran online dapat menumbuhkan atribut dan persepsi belajar peserta didik yang baik seperti, belajar mandiri, self-paced, dan lain hal
Dewi Gustini;Memberikan waktu belajar yang lebih flexibel dan tidak terbatasi oleh jarak
Endang Lestari;Jika di bandingkan dengan metode tatap muka, pembelajaran jarak jauh jauh dari kata baik dalam KBM
Juni Srikuswati ;Meningkatkan kreativitas dan kemandirian
Wulan Novitasari;Dalam hal yang sifatnya lifestyle...cocok
Siti Masruroh;Menjangkau banyak siswa dalam waktu yang singkat
Dini Permata Putri;Saya merasa tidak bisa berbuat banyak dengan adanya pembelajaran online sehingga saya tidak setuju
Ahmad Syahroni;Tidak ada
Yohanes Sigit Untoro;tidak setuju, dikarenakan tanggal merah tetap melaksanakan pembelajaran.
Fauzan;kedisipilan siswa berkurang dalam belajar
nayah anjani;iya secara signifikan belum terlihat
ERNI MARYANI, S.Pd;Dampaknya lebih kurang efektif untuk dapat mencerna pelajaran yang dipaparkan orang pembicara
Soleh;pembelajaran online membuat kebanyakan mahasiswa/i lebih malas untuk belajar ataupun mengejarkan tugas
Sopiah;Tatap muka tetap lebih baik
Fatoni Kabir;Karena dapat memberi variasi dalam pembelajaran 
Desi Ayu Ramadhan;Siswa belajar lebih mandiri
Asrini Salsabila Putri;Karena mahasiswa dituntut aktif dalam proses pembelajaran
Nisrina Salsabila ;Pembelajaran secara daring memberikan dampak yang kurang baik karena banyak anak yang malas, menurunnya pencapaian pembelajaran
Alin Natusaripah;Siswa kreatif
Millati Haniefa Nurkamila;Karena segalanya menjadi lebih sulit 
Udho ganteng;Cukup memberikan dampak baik terutama di masa pandemi karena mengurangi penyebaran virus covid-19
Nuril Kartika Rahmawati ;Karena sangat sedikit yang di pastikan mengikuti pembelajaran dengan baik 
Cindy Callysta;Baik kalau dimengerti
Aini Zahra;Selama pembelajaran online ilmu yang didapatkan sangat berkurang
Medina;Sama seperti tanggapan saya di atas.
Digma Heldy Pratama;Belajar memanfaatkan waktu
Milena;Banyak tugas, dosen berlomba-lomba dalam memberi tugas. Bahkan ada dosen yang memberikan deadline dalam 24 jam dengan 35 soal (15 soalnya ga ada di materi sama sekali) 
Muthmainnah Nur;Karena mau tidak mau para pelaku pendidikan dituntut untuk melakukan perubahan dan belajar lebih baik terutama dalam pemanfaatan teknologi untuk pembelajaran
Dewi F.F.;saya sendiri merasakan ips naik selama pembelajaran online, namun untuk efektifitas penyampaian materi pembelajaran dirasa kurang
Ravenska Vania;Selama proses belajar online, materi yang disampaikan dapat lebih mudah dicerna karena di terima dalam kondisi yang santai di rumah
dewi robin pramary;Saya mengatakan cukup setuju karena dampaknya anak-anak jadi dapat mengeksplor dengan sangat luas
mega purwati;sama seperti dua sebelumnya
HERLINA DWI KARTIKASARI;"hampir tidak paham selama online, ""hah? apaan maksud"""
amanda;karena banyaknya hambatan yang telah disebutkan diatas, pembelajaran online menjadi kurang efektif. pembelajaran juga cenderung satu arah, tidak dua arah (mahasiswa dan dosen aktif)
Zahrah Tsania;Masih ada materi yang perlu dijelaskan secara langsung dan mengurangi mencontek saat mengerjakan uts/uas online
Dea;untuk dampaknya sebenarnya lebih ke nilai karena dengan adanya online sehingga bisa open book
Salsabela;Jujur saya merasa pembelajaran online cenderung membuat integritas saya dan teman-teman menurun. Walaupun seharusnya tidak seperti itu, tetapi itu yang saya rasakan.
Sindhu Wijaya Mulyo Nugroho;Sebenarnya sisi positifnya adalah lebih santai, dalam artian kan di rumah jadi bisa lebih rileks
Imelia Nurlaila;Melihat dari banyaknya keluhan dari belajar daring, mulai dari metode pembelajaran yang kurang efektif sehingga pemahaman materi jadi kurang maksimal. Kemudian hambatan koneksi juga terkadang semakin menghambat pembelajaran. 
zahra chairunnisa wihajaya;karena kembali ke point diatas pelajar lebih menganggap enteng pembelajaran online sehingga mereka cenderung tidak menerima dan mementingkan pelajaran apa yang mereka dapat hari ini, yang mereka pentingkan hanyalah absensi
Andin;mungkin jadinya lebih flexible, karena bisa sambil mengerjakan hal lainnya
Faradina;sulit memahami materi 
Latanza Delia Choirunnisa;Menghemat waktu dan kertas
Widadri Ailin;saya merasakan dampak yang cukup positif dengan adanya pembelajaran secara online ini, seperti mudah untuk mencatat materi
Bulqiah Jagad Mauladan;Saat belajar online waktunya lebih banyak, tapi menurut saya lebih baik tatap muka
Shafira Desy Ayu Al - Fikri;tidak begitu memberikan dampak baik
Chrisye;Dampak baiknya adalah anak yang merasa tidak menangkap materi dapat mencari sendiri di internet, sehingga menumbuhkan rasa ingin tahu dan belajar yang tinggi. Tetapi tidak untuk siswa secara merata. Dan juga guru-guru belum siap dalam menyikapi tugas yang akan diberikan kepada murid.
Nabila Hasna;Setuju, pembelajaran secara daring memberikan dampak yang baik dalam belajar mengajar, meskipun tidak seefektif dan seefisien pembelajaran secara tatap muka.
Rizqi Amalia Utami;lebih efektif hasilnya saat tatap muka + parents tidak merasa stress
Adinda Kasih Salsabilah;di satu sisi pembelajaran online lebih fleksibel waktunya namun di sisi lain beban tugas yang diberikan jauh lebih berat dan tricky untuk dilakukan secara daring
Lelly Febriyanti;Masih banyak ditemukan keresahan para pelajar/mahasiswa terkait penguasaan materi yang rumit dipahami karena terkendala jaringan/sinyal saat kelas berlangsung. 
Dita Cahayatiningsih;Dampak baiknya yaitu membuat pengajar dapat lebih mengembangkan metode belajarnya menjadi lebih beragam dan untuk siswa dengan pembelajaran online membuat siswa lebih mandiri.
Noor Anisa Amelia;Karena banyak yang hanya sekedar  masuk ke dalam kelas namun tidak memahami materi sehingga dampak yang terjadi untuk ke depannya adalah banyaknya para pelajar yang tidak dapet menguasai/memahami materi mereka
Riska;Karena materi bisa diakses dimanapun dan kapanpun sesuai waktu yang ditentukan
hana;Tidak setuju karena dosen yang kadang semaunya mengubah jadwal dan hanya meminta mahasiswanya melakukan presentasi tanpa ada penjelasan lebih lanjut dari dosen terkait.
Cahya;Trgantung cara pengjar/guru dalam membelajarkan siswanya. Serta cara sibawa belajar dan memahami materi
Marni;cukup setuju, jadi harus lebih mandiri belajarnya
Asep Muslihat;Saya agak kesulitan dalam mengerjakan tugas praktik terus menerus
Bekti widodo;Siswa mengenal IT
Rohman Mulyadi;Beberapa materi ditampilkan melalui animasi, walau pembuatannya tidak sederhana
N.Mardiyah;Pengetahuan anak dan guru Dalam IT bertambah 
Herlin Sundari;Tidak semua pembelajarna online memberikan dampak yang baik dalam belajar mengajar karena untuk sebagian anak yang rajin dan punya semangat mungkin baik baik saja tapi bagi anak yang kurang semangatnya ini jadi kendala karena kejenuhan pembelajaran dengan metode daring. Tapi mungkin ini juga bisa berlaku ke semua anak jenuh dengan metode daring karena cape lihat laptop atau hp setiap hari dan kejenuhan ini pasti berlaku ke guru juga selain disibukan dengan pembelajaran guru juga harus menyiapkan materi dan administrasi lainnya
Mulyani. S.Pd;setuju karna dengan belajar onlain anak bisa menggunakan memanfaatkan tehnologi
Wartono;Ketika guru memberikan pembelajaran dengan maksimal meskipun itu by online dan peserta didik mengerti akan pembelajaran yang telah dilaksanakan 
Yosa Halim Prayogi;Siswa dan guru lebih banyak taubttg IT
Dini Alisari;Disebabkan adanya jarak antara siswa dan guru serta tidak bertatap muka secara langsung menyebabkan banyak siswa yang kurang disiplin. Dan juga banyak kendala pada siswa yang tidak semua siswa memiliki perangkat yang memadai dan juga fasilitas paket internet yang kadang tidak mencukupi sehingga menjadi kendala dalam mengikuti Pembelajaran secara Online
Evita Wulansari;Terdapat dampak positif maupun negatif , u tuk dmpak positifnya kita dapat menemukan solusi pembelajaran apabila tidak bisa dilakukan secara luring. 
Muh. Ruli Gunawan ;Dapat cukup memahami pembelajaran yang diberikan oleh dosen
Mulyani;Dapat menggunakan aplikasi-aplikasi TIK
Nufa Suryana ;Iya ini betul, guru terbantu dalam memaparkan materinya disaat Pandemi
Susanti;Lebih efektif waktu dan bisa pintar mengginakan IT
Yuli Eenawati;-
Peni Trihastuti;Karena guru dipaksa untuk mengenal IT lebih baik lagi
Imam Nashokha;Justru dampaknya kurang bagus bagi anak-anak karena mereka akhirnya lebih fokus kepada game selama memegang handphone
Sri Juhariah, S.Pd ;"Dampak baiknya : anak belajar secara mandiri .
Dampak negatifnya : materi tidak mendalam , susah membangun karakter baik ,seperti kejujuran"
ERNA SOFIA NENGSIH;Pada kondisi normal, KBM secara online memberikan dampak yang baik terkhusus pada keterampilan literasi dan mengakomodasi siswa yang memiliki kemampuan belajar lebih. Tetapi moda pembelajaran online ini juga memunculkan permasalahan baru yaitu adanya kesenjangan/gap fasilitas belajar dengan hasil belajar.
Mmmm;Tidak semuanya berdampak baik
Rohman Nurdin;Banyak anak-anak yang mengeluh bahkan orang tua pusing mendampingi anak-anak 
Widawati;Keren
DEWI MARLINDA, S.Pd.;Guru jadi haus akan ilmu dan tekhnologi guna mendukung pembelajaran yang menyenangkan meskipun secara onlie, dan siswa juga tidak merasa jenuh dengan satu aplikasi saja
Argi Fathurachim;Dapat tambahan ilmu tentang IT meski awalnya terpaksa
RIGAN DIAZ ALGIFARI;Kurang setuju, karena dampak baiknya yang paling kentara adalah anak semakin mahir dengan IT tapi dari segi sikap sosial dan kemandirian peserta didik jauh sangat merosot
RENALDI RAMADHAN;Karena lebih paham tatap muka
Esa Saputra;Kita jadi lebih bisa memanfaatkan teknologi dengan baik tidak hanya untuk bermain medsos saja.
Giva Nur Aulia;Kurang menegerti karena tidak tatap muka
Dila Margaretha;dampak baik dari daring yaitu kita bisa menajemen waktu lagi sama membiasakan adaptasi baru di tengah pandemi.fasilitas yang saya gunakan sudah memadai selama daring hanya saja kouta internet terbatas pada saat pembelajaran daring.sehingga saya harus menghemat lebih efisieun untuk kepentingan belajar daring 
Novitasari;Anak anak mampu memaksimalkan media sosial
Sofyan Hidayat;Menurut saya ada dampak baik dan buruknya tapi cenderung ke baiknya. Jadi pembelajaran online ini dapat memutus rantai penyebaran covid19, tapi jika tidak berjalan dengan lancar atau tidak didukung dengan beberapa hal (misal: didamping orang tua, atau di wilayah yang memadai untuk dapat sinyal baik) maka  tujuan pembelajaran tersebut kurang tercapai
Septy;Jika untuk siswa yang mau belajar menjadi dampak yang baik tapi lain hal dengan anak anak yang malas atau anak anak yang suka belajar bersama 
LILI SUMARNI,S.Pd;Karena kebanyakan guru memberikan tugas sehingga untuk murid yang malas pasti tidak akan mengerjakan secara mandiri, pasti mereka menyontek dari temannya. Terlalu banyak tugas juga membuat murid merasa setres 
Ayu Noor Aeni;Ya, untuk topik/subjek tertentu 
RIDA MANARUZZAMAN ;Secara umum, hasil belajar siswa secara online TIDAK MENUNJUKKAN kemajuan dan kemampuan siswa. Siswa dapat tanya teman, searcing ataupun lainnya tanpa sepengetahuan guru. Siswa jadi kurang motivasi dalam belajar, mengandalkan searching.
Suci Sukmayanti Putri;Dengan belajar online tugas yang diberikan banyak sedangkan waktu pengumpulan tidak banyak, terkadang terhambat jaringan internet yang lambat
Rafi Ikhwanudien Muhammad ; 
Julinda Ika Saputri;Anak-anak cendurung memiliki motivasi belajar yang rendah dan sulit memahami materi pembelajaran
MURODI, S.Pd.I;Karena bisa meningkatkan kreativitas dalam membuat suatu pembelajaran yang unik dalam masa pandemi seperti ini, tetapi ada kendala juga bagi yang tidak memiliki fasilitasnya 
Dhyana Wijayanti;cukup bagus bila dosen harus membangun mahasiswa agar tidak bosen hanya menjelaskan materi saja
Fauziah Ru'fatul Ulya Karimah;Setuju
JUSTIN DRILEN ABEDNEGO;Sebagai guru termotivasi untuk memberikan yang terbaik bagi siswa 
Pancari Cahaya;Karna setidaknya kita belajar untuk mandiri
Kwok Mei Foeng;Kelebihan dari daring adalah kita bisa belajar dengan relax dan bisa lebih banyka waktu untuk belajar dan istirahat,minusnya kita masih banyak yang malas lalu videonya dimatikan dan terkadang kit masih saja bingung apa ynag disampaikan materi karena sinyal yang tidak memungkinkan
Dian Markuci;karena ada banyak dampak negatifnya dalam pembelajaran online bagi siswa
Rodi Saroyo, S.Pd.;Guru dan siswa bertambah wawasan  di online
Ratih Era Setianingrum;Walaupun masih banyak kekurangan saat belajar online, tapi saya cukup setuju bagi saya dampak yang saya dapatkan selama pembelajaran online adalah waktu belajar lebih fleksibel dan lebih banyak belajar mandiri karena setiap praktikum dituntut harus bisa tanpa bimbingan langsung dari dosen terkait ataupun teman
Rini Rachmawati;Siswa lebih leluasa dalam mengekspresikan KBMnya karena suasananya lebih santai dan bisa dari rumah masing-masing.
Andriani;lebih ringkas
Herlanto;Karena kurangnya partisipasi siswa, jadi pembelajaran kesiswa tidak maksimal
Agung Hendro Pradityo;Dengan tuntunan pembejaran membuat peserta didik dan pendidik melakukan upgrade soft skill mereka untuk menunjang dan memanfaatkan pembelajaran daring secara maksimal
Elisabeth Puspa Wardani;Setuju
Lylis Bahriani;Seperti yang disampaikan sebelumnya, metode ini lebih praktis dan memacu anak bersahabat dengan perkembangan teknologi
SUHERNI;Ada sisi baik dan buruk dalam pembelajaran ini
Katarina Endang Rejeki;Kurangnya motivasi, sarana & prasana siswa beserta guru untuk belajar secara online
Rustam Herman Kesuma;pembelajaran jarak jauh ada dampak yaitu kurang baik juga
LUSIA NGATILAH;Tetap lebih baik pembelajaran tatap muka
Maria Magdalena Dwi R;Siswa lebih dimudahkan dalam mengakses materi pembelajaran
Yetty Ida Rohani Tobing;Tidak ada pendekatan, tidak bisa mengetahui kondisi siswa
Retno Puspitasari;Kepribadian anak belum bisa maksimal dalam menilai, hanya berdasarkan pengumpulan tugas saja.
Dahlia afissiya shalma;karena tidak bisa interaksi antara teman
Elisabet Ona;Membantu siswa belajar walaupun dilakukan dari rumah
Aprillia Setiawan;Cukup Setuju 
Christiana Titik Budiati;Karena dengan pembelajaran online para pendidik semakin kreatif 
Evinora. V. Hutabarat;Karena untuk penilaian tidak bisa di pertanggungjawaban 100% valid
Jani Susanti;Proses belajar mengajar kurang maksimal
Irma Okviana Br Ginting Munthe;Ada baiknya karena orang tua bisa mendampingi anak, tetapi akan membuat anak tergantung kepada orang tua
Teresia Wellydar;Karena tidak bisa melihat anak mengerjakan sendiri
Johannes Krismanto;Untuk saat ini setuju karena kondisi covid membuat kita terpaksa melaksanakan PJJ secara online
Lucia Puji Sumarni;Memerlukan banyak kuota
Yanti Karmila;Karena proses pembelajaran tidak dapat berlangsung secara maksimal
Christiana Suwarti;Ya ada sisi baiknya
ani karolina;Baik
B. Dyah M.;Karena membuat siswa semakin malas,kurang disiplin dan bertanggung jawab dalam mengerjakan tugas
Y. Noviana Purwaningrum ;Apalagi sedang covid,jd ini membantu
MAGDALENA SIMBOLON;Dapat membuat guru lebih kreatif
Emilda Manuntungi;Mengurangi resiko terpapar covid 19
COSMAS BUTSI L.;GURU SEMAKIN BANYAK BERINOVASI DALAM MEMBERIKAN PENGAJARAN
Sumardiyah;Semakin hari motivasi belajar siswa semakin menurun
sarwedi;Sebenarnya bisa juga kita semua jadi bisa mengembangkan teknologi komputer dengan lebih baik lagi..
Kusnaeni;Pembelajaran secara online memang memberikan dampak yang positif di kala pandemi seperti sekarang, namun banyak guru yang kurang mengoptimalkan-aplikasi aplikasi untuk pembelajaran online dan juga siswa jika pelibatan orangtua atau pengawasan orangtua juga kurang maka siswa akan lebih banyak main game bahkan malah malas belajar.
Nur Hidayat;Meningkatkan literasi digital guru dan siswa.
Fahriah;Biasa aja
Ida siagian;Karena memudahkan guru tidak perlu ke sekolah setiap hari karena ada pembagian pelajaran
Larasati Prihantari;Banyak murid yang tidak mengerjakan
M.Budi mulyanto;Untuk menjaga keselamatan dari pandemi corona
Faishal Hanif;Cukup setuju 
Yusup Supyani;Siswa lebih asyik memainkan gadgetnya dibandingkan mengerjakan tugas yang diberikan guru
Septian;Membiasakan diri untuk mencoba hal baru, mengupgrade ilmu pengetahuan dan skill. Serta memudahkan anak anak untuk mereview materi yang telah ada sebelumnya
Ilyas;Masih Fifty-Fifty karena ada peralihan dari pembelajaran konvensional ke daring.
ILMA AMALIA;Karena ada banyak kendala juga saat sekolah online, kedisiplinan, camistry, jaringan, kemauan dan penggunaan gawai
Rofi Rosydi, S.Pd;Saya kurang setuju belajar online
Dias saputri;materi tidak tersampaikn dengan baik
Suwanto;Buat pelajar kedepanya
Chatarina Dewi L;Siswa banyak terkendala dlm kuota dlm pembelajaran
Sudarsono;Karena tampa ada pendampingan belajar secara online oleh orang tua maka, secara online tidak akan berdampak baik bahkan bisa dampak  negatif, karena anak bisa menggunakan gangetnya untuk game atau hal yang tidak bermanfaat yang lain.
Achmad fadil baihaki;On line memaksa semua pihak mempelajari tehnologi namun untuk usia smp dan mata pelajaran sain, matematika akan menjafi sangat terkendala. Usiamereka belum siao belajar mandiri. 
Clara Hardhini;Dalam satu sisi menuntut para guru lebih inovatif  begitu juga peserta didik.
D. Irga B. Naufal Fakhri ;cukup setuju karena di masa pandemi seperti ini, belajar online sangat di butuhkan walaupun mash banyak kekurangannya
Andi Husnul Khatimah;Murid-murid belajar teknologi
Fanny Shafira Damayanti;Semakin banyak webinar karena lebih mudah dijalankan secara online dibandingkan secara offline
Nur Ummul Annisa;Ya memberikan dampk positif dan negatif
N Muthiah S;Menurut saya dengan adanya webinar dapat membantu memahami bagaimana cara mengajar dan belajar yang baik saat pembelajaran online
Nur Azwa;Sedikit membantu mengisi waktu luang selama kelas kosong 
ARRIZAL FURQONA GIFARY;Iya cukup berdampak
M. Asyraf Mubarak Sudarmin;Ya, karena lebih mudah dalam mengikutinya tidak perlu ketempat seminarnya langsung cukup melalui online
Sri Ayu Mauliana;memberi dampak bagus dan baik untuk yang fokus dan serius
Maulydia ;Jika memang individu itu sendiri serius mendengarkan penyampaian dari setiap pemateri, pastinya akan mendapat banyak ilmu baru, begitupun sebaliknya, jika hanya mengincar sertifikat saja, maka semua itu hanya sekedar formalitas belaka
Fadila Prima Putri;Ya
Tegar Nova Silviana;Berdampak baik sih tapi lebih bagus lagi jika dilaksanakan secara luring
Wahyu kurnia sari;iya, karena kita bisa mengetahui bagaimana cara mengatasi rasa malas atau depresi ketika dalam belajar di masa pandemi ini
Satriani;Sedikit banyak memberikan dampak, namun sering terjadi misunderstand atau miscomunicasi sebab terkendala jaringan.
